,terms,arg_types,return_type,type,count
0,-1,,num,base_term,1
1,-2,,num,base_term,1
2,0,,num,base_term,1
3,1,,num,base_term,1
4,2,,num,base_term,1
5,False,,bool,base_term,1
6,Hexa,,shape,base_term,1
7,I,obj,obj,primitive,1
8,L1,,length,base_term,1
9,L2,,length,base_term,1
10,L3,,length,base_term,1
11,L4,,length,base_term,1
12,L5,,length,base_term,1
13,L6,,length,base_term,1
14,L7,,length,base_term,1
15,Pent,,shape,base_term,1
16,Rect,,shape,base_term,1
17,Tria,,shape,base_term,1
18,True,,bool,base_term,1
19,addnn,num_num,num,primitive,1
20,getEdge,obj,num,primitive,1
21,getLength,obj,num,primitive,1
22,getShape,obj,shape,primitive,1
23,ifElse,bool_obj_obj,obj,primitive,1
24,isLength,obj_num,bool,primitive,1
25,isShape,obj_shape,bool,primitive,1
26,mulnn,num_num,num,primitive,1
27,setEdge,obj_num,obj,primitive,1
28,setLength,obj_num,obj,primitive,1
29,setShape,obj_shape,obj,primitive,1
30,"[B,I,I]",obj,obj,program,1
31,"[KB,I,I]",obj_obj,obj,program,1
